row, col, cumulative power
0, 0, 3.081488e-31
0, 1, 2.008381e+02
1, 1, 2.198694e+02
0, 2, 2.801332e+02
1, 2, 3.000437e+02
2, 2, 3.114440e+02
0, 3, 4.347547e+02
1, 3, 4.699830e+02
2, 3, 4.845915e+02
0, 4, 5.133773e+02
1, 4, 5.215651e+02
3, 3, 5.335266e+02
2, 4, 5.353027e+02
3, 4, 5.415419e+02
0, 5, 5.426652e+02
1, 5, 5.451565e+02
2, 5, 5.457291e+02
4, 4, 5.466047e+02
3, 5, 5.472258e+02
0, 6, 5.613189e+02
1, 6, 5.636377e+02
2, 6, 5.652020e+02
4, 5, 5.652692e+02
3, 6, 5.657987e+02
0, 7, 5.758807e+02
5, 5, 5.760150e+02
1, 7, 5.772989e+02
4, 6, 5.775217e+02
2, 7, 5.788699e+02
3, 7, 5.809687e+02
5, 6, 5.818385e+02
0, 8, 5.858971e+02
4, 7, 5.860945e+02
1, 8, 5.887772e+02
2, 8, 5.896542e+02
6, 6, 5.897462e+02
3, 8, 5.903346e+02
5, 7, 5.906102e+02
4, 8, 5.908944e+02
0, 9, 5.998086e+02
1, 9, 6.045523e+02
6, 7, 6.047371e+02
2, 9, 6.054773e+02
5, 8, 6.055686e+02
3, 9, 6.079863e+02
4, 9, 6.085536e+02
7, 7, 6.087087e+02
6, 8, 6.091414e+02
0, 10, 6.119348e+02
1, 10, 6.121952e+02
2, 10, 6.122666e+02
5, 9, 6.124656e+02
3, 10, 6.124960e+02
7, 8, 6.128135e+02
4, 10, 6.128413e+02
6, 9, 6.133488e+02
5, 10, 6.138190e+02
8, 8, 6.141524e+02
7, 9, 6.145288e+02
6, 10, 6.146978e+02
8, 9, 6.151097e+02
7, 10, 6.151207e+02
9, 9, 6.155410e+02
8, 10, 6.158392e+02
9, 10, 6.159121e+02
10, 10, 6.159163e+02
