SeqID,Phase-Sep
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,1
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,1
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,0
0028,0
0029,0
0030,0
0031,0
0032,1
0033,1
0034,0
0035,0
0036,0
0037,0
0038,0
0039,0
0040,1
0041,0
0042,0
0043,0
0044,0
0045,1
0046,0
0047,0
0048,1
0049,1
0050,1
0051,1
0052,1
0053,0
0054,1
0055,1
0056,1
0057,1
0058,1
0059,1
0060,1
0061,1
0062,1
0063,1
0064,1
0065,1
0066,1
0067,1
0068,1
0069,1
0070,1
0071,1
0072,1
