row, col, cumulative power
0, 0, 8.721350e-28
0, 1, 8.625202e+02
1, 1, 9.650085e+02
0, 2, 1.423828e+03
1, 2, 1.452886e+03
2, 2, 1.455499e+03
0, 3, 1.600569e+03
1, 3, 1.616719e+03
2, 3, 1.622521e+03
0, 4, 1.737602e+03
1, 4, 1.748028e+03
3, 3, 1.750908e+03
2, 4, 1.757376e+03
3, 4, 1.758020e+03
0, 5, 1.846730e+03
1, 5, 1.848557e+03
2, 5, 1.851790e+03
4, 4, 1.853014e+03
3, 5, 1.853294e+03
0, 6, 1.928294e+03
1, 6, 1.933818e+03
2, 6, 1.935133e+03
4, 5, 1.937420e+03
3, 6, 1.939196e+03
0, 7, 1.990088e+03
5, 5, 1.990986e+03
1, 7, 1.994131e+03
4, 6, 1.995576e+03
2, 7, 1.996626e+03
3, 7, 1.997633e+03
5, 6, 1.998180e+03
0, 8, 2.052061e+03
4, 7, 2.052978e+03
1, 8, 2.055398e+03
2, 8, 2.058126e+03
6, 6, 2.059594e+03
3, 8, 2.060571e+03
5, 7, 2.061038e+03
4, 8, 2.063424e+03
0, 9, 2.081711e+03
1, 9, 2.083553e+03
6, 7, 2.084324e+03
2, 9, 2.087662e+03
5, 8, 2.088030e+03
3, 9, 2.089015e+03
4, 9, 2.092079e+03
7, 7, 2.092776e+03
6, 8, 2.093078e+03
0, 10, 2.409049e+03
1, 10, 2.415407e+03
2, 10, 2.415488e+03
5, 9, 2.417844e+03
3, 10, 2.418014e+03
7, 8, 2.418666e+03
4, 10, 2.419356e+03
6, 9, 2.419518e+03
5, 10, 2.419526e+03
8, 8, 2.420418e+03
7, 9, 2.420478e+03
6, 10, 2.420717e+03
8, 9, 2.421115e+03
7, 10, 2.422217e+03
9, 9, 2.422829e+03
8, 10, 2.423251e+03
9, 10, 2.423961e+03
10, 10, 2.423990e+03
