row, col, cumulative power
0, 0, 7.888609e-29
0, 1, 7.721679e+01
1, 1, 1.533954e+02
0, 2, 2.198131e+02
1, 2, 2.351952e+02
2, 2, 2.373103e+02
0, 3, 4.493890e+02
1, 3, 4.752497e+02
2, 3, 4.854457e+02
0, 4, 4.919514e+02
1, 4, 5.103842e+02
3, 3, 5.138222e+02
2, 4, 5.198957e+02
3, 4, 5.205649e+02
0, 5, 5.217900e+02
1, 5, 5.240240e+02
2, 5, 5.241468e+02
4, 4, 5.250663e+02
3, 5, 5.257195e+02
0, 6, 5.385699e+02
1, 6, 5.431921e+02
2, 6, 5.470182e+02
4, 5, 5.481918e+02
3, 6, 5.487840e+02
0, 7, 5.518217e+02
5, 5, 5.522011e+02
1, 7, 5.605807e+02
4, 6, 5.640825e+02
2, 7, 5.650962e+02
3, 7, 5.661260e+02
5, 6, 5.678538e+02
0, 8, 6.052714e+02
4, 7, 6.060559e+02
1, 8, 6.081432e+02
2, 8, 6.096191e+02
6, 6, 6.098183e+02
3, 8, 6.115379e+02
5, 7, 6.126195e+02
4, 8, 6.131420e+02
0, 9, 6.630969e+02
1, 9, 6.659418e+02
6, 7, 6.683958e+02
2, 9, 6.692645e+02
5, 8, 6.711456e+02
3, 9, 6.717287e+02
4, 9, 6.737501e+02
7, 7, 6.739346e+02
6, 8, 6.748153e+02
0, 10, 6.755203e+02
1, 10, 6.756203e+02
2, 10, 6.758409e+02
5, 9, 6.765625e+02
3, 10, 6.765984e+02
7, 8, 6.775603e+02
4, 10, 6.797503e+02
6, 9, 6.801733e+02
5, 10, 6.806542e+02
8, 8, 6.810745e+02
7, 9, 6.812003e+02
6, 10, 6.817615e+02
8, 9, 6.842615e+02
7, 10, 6.844919e+02
9, 9, 6.852233e+02
8, 10, 6.852994e+02
9, 10, 6.854897e+02
10, 10, 6.854919e+02
