# contact distance = 3
# r = [0.359652, 4.47929]

# i j contact_probability mean_contact_probability stddev_contact_probability
0 0 0.411765 0.295833 0.161791
0 1 0.392157 0.295833 0.161791
0 2 0.343137 0.295833 0.161791
0 3 0.382353 0.295833 0.161791
0 4 0.352941 0.295833 0.161791
0 5 0.45098 0.295833 0.161791
0 6 0.490196 0.295833 0.161791
0 7 0.529412 0.295833 0.161791
0 8 0.480392 0.295833 0.161791
0 9 0.431373 0.295833 0.161791
0 10 0.323529 0.295833 0.161791
0 11 0.323529 0.295833 0.161791
0 12 0.284314 0.295833 0.161791
0 13 0.215686 0.295833 0.161791
0 14 0.166667 0.295833 0.161791
0 15 0.156863 0.295833 0.161791
0 16 0.176471 0.295833 0.161791
0 17 0.117647 0.295833 0.161791
0 18 0.0784314 0.295833 0.161791
0 19 0.0686275 0.295833 0.161791
1 0 0.441176 0.295833 0.161791
1 1 0.352941 0.295833 0.161791
1 2 0.372549 0.295833 0.161791
1 3 0.284314 0.295833 0.161791
1 4 0.352941 0.295833 0.161791
1 5 0.45098 0.295833 0.161791
1 6 0.480392 0.295833 0.161791
1 7 0.5 0.295833 0.161791
1 8 0.509804 0.295833 0.161791
1 9 0.45098 0.295833 0.161791
1 10 0.392157 0.295833 0.161791
1 11 0.333333 0.295833 0.161791
1 12 0.294118 0.295833 0.161791
1 13 0.196078 0.295833 0.161791
1 14 0.137255 0.295833 0.161791
1 15 0.176471 0.295833 0.161791
1 16 0.147059 0.295833 0.161791
1 17 0.0980392 0.295833 0.161791
1 18 0.0588235 0.295833 0.161791
1 19 0.0196078 0.295833 0.161791
2 0 0.392157 0.295833 0.161791
2 1 0.352941 0.295833 0.161791
2 2 0.313725 0.295833 0.161791
2 3 0.27451 0.295833 0.161791
2 4 0.313725 0.295833 0.161791
2 5 0.421569 0.295833 0.161791
2 6 0.421569 0.295833 0.161791
2 7 0.490196 0.295833 0.161791
2 8 0.5 0.295833 0.161791
2 9 0.480392 0.295833 0.161791
2 10 0.372549 0.295833 0.161791
2 11 0.362745 0.295833 0.161791
2 12 0.264706 0.295833 0.161791
2 13 0.215686 0.295833 0.161791
2 14 0.196078 0.295833 0.161791
2 15 0.186275 0.295833 0.161791
2 16 0.166667 0.295833 0.161791
2 17 0.117647 0.295833 0.161791
2 18 0.0980392 0.295833 0.161791
2 19 0.0784314 0.295833 0.161791
3 0 0.323529 0.295833 0.161791
3 1 0.284314 0.295833 0.161791
3 2 0.245098 0.295833 0.161791
3 3 0.205882 0.295833 0.161791
3 4 0.303922 0.295833 0.161791
3 5 0.343137 0.295833 0.161791
3 6 0.382353 0.295833 0.161791
3 7 0.431373 0.295833 0.161791
3 8 0.480392 0.295833 0.161791
3 9 0.441176 0.295833 0.161791
3 10 0.313725 0.295833 0.161791
3 11 0.27451 0.295833 0.161791
3 12 0.254902 0.295833 0.161791
3 13 0.166667 0.295833 0.161791
3 14 0.205882 0.295833 0.161791
3 15 0.166667 0.295833 0.161791
3 16 0.137255 0.295833 0.161791
