# contact distance = 3
# r = [1.02273, 4.08772]

# i j contact_probability mean_contact_probability stddev_contact_probability
0 0 0.247312 0.336425 0.136521
0 1 0.268817 0.336425 0.136521
0 2 0.247312 0.336425 0.136521
0 3 0.236559 0.336425 0.136521
0 4 0.301075 0.336425 0.136521
0 5 0.311828 0.336425 0.136521
0 6 0.365591 0.336425 0.136521
0 7 0.376344 0.336425 0.136521
0 8 0.397849 0.336425 0.136521
0 9 0.365591 0.336425 0.136521
0 10 0.365591 0.336425 0.136521
0 11 0.419355 0.336425 0.136521
0 12 0.397849 0.336425 0.136521
0 13 0.344086 0.336425 0.136521
0 14 0.365591 0.336425 0.136521
0 15 0.301075 0.336425 0.136521
0 16 0.215054 0.336425 0.136521
0 17 0.193548 0.336425 0.136521
0 18 0.150538 0.336425 0.136521
0 19 0.129032 0.336425 0.136521
1 0 0.236559 0.336425 0.136521
1 1 0.236559 0.336425 0.136521
1 2 0.258065 0.336425 0.136521
1 3 0.290323 0.336425 0.136521
1 4 0.301075 0.336425 0.136521
1 5 0.322581 0.336425 0.136521
1 6 0.354839 0.336425 0.136521
1 7 0.397849 0.336425 0.136521
1 8 0.376344 0.336425 0.136521
1 9 0.397849 0.336425 0.136521
1 10 0.354839 0.336425 0.136521
1 11 0.430108 0.336425 0.136521
1 12 0.430108 0.336425 0.136521
1 13 0.462366 0.336425 0.136521
1 14 0.44086 0.336425 0.136521
1 15 0.376344 0.336425 0.136521
1 16 0.236559 0.336425 0.136521
1 17 0.193548 0.336425 0.136521
1 18 0.11828 0.336425 0.136521
1 19 0.0860215 0.336425 0.136521
2 0 0.215054 0.336425 0.136521
2 1 0.215054 0.336425 0.136521
2 2 0.204301 0.336425 0.136521
2 3 0.236559 0.336425 0.136521
2 4 0.225806 0.336425 0.136521
2 5 0.247312 0.336425 0.136521
2 6 0.311828 0.336425 0.136521
2 7 0.290323 0.336425 0.136521
2 8 0.311828 0.336425 0.136521
2 9 0.333333 0.336425 0.136521
2 10 0.376344 0.336425 0.136521
2 11 0.408602 0.336425 0.136521
2 12 0.365591 0.336425 0.136521
2 13 0.387097 0.336425 0.136521
2 14 0.430108 0.336425 0.136521
2 15 0.354839 0.336425 0.136521
2 16 0.247312 0.336425 0.136521
2 17 0.204301 0.336425 0.136521
2 18 0.129032 0.336425 0.136521
2 19 0.0967742 0.336425 0.136521
3 0 0.290323 0.336425 0.136521
3 1 0.258065 0.336425 0.136521
3 2 0.247312 0.336425 0.136521
3 3 0.311828 0.336425 0.136521
3 4 0.290323 0.336425 0.136521
3 5 0.247312 0.336425 0.136521
3 6 0.344086 0.336425 0.136521
3 7 0.365591 0.336425 0.136521
3 8 0.387097 0.336425 0.136521
3 9 0.451613 0.336425 0.136521
3 10 0.462366 0.336425 0.136521
3 11 0.44086 0.336425 0.136521
3 12 0.397849 0.336425 0.136521
3 13 0.397849 0.336425 0.136521
3 14 0.408602 0.336425 0.136521
3 15 0.344086 0.336425 0.136521
3 16 0.268817 0.336425 0.136521
3 17 0.247312 0.336425 0.136521
3 18 0.150538 0.336425 0.136521
3 19 0.11828 0.336425 0.136521
4 0 0.27957 0.336425 0.136521
4 1 0.27957 0.336425 0.136521
4 2 0.225806 0.336425 0.136521
4 3 0.268817 0.336425 0.136521
4 4 0.311828 0.336425 0.136521
4 5 0.27957 0.336425 0.136521
4 6 0.419355 0.336425 0.136521
4 7 0.376344 0.336425 0.136521
4 8 0.430108 0.336425 0.136521
4 9 0.44086 0.336425 0.136521
4 10 0.44086 0.336425 0.136521
4 11 0.451613 0.336425 0.136521
4 12 0.462366 0.336425 0.136521
4 13 0.419355 0.336425 0.136521
4 14 0.419355 0.336425 0.136521
4 15 0.333333 0.336425 0.136521
4 16 0.311828 0.336425 0.136521
4 17 0.204301 0.336425 0.136521
4 18 0.204301 0.336425 0.136521
4 19 0.193548 0.336425 0.136521
5 0 0.333333 0.336425 0.136521
5 1 0.290323 0.336425 0.136521
5 2 0.225806 0.336425 0.136521
5 3 0.247312 0.336425 0.136521
5 4 0.247312 0.336425 0.136521
5 5 0.27957 0.336425 0.136521
5 6 0.365591 0.336425 0.136521
5 7 0.44086 0.336425 0.136521
5 8 0.473118 0.336425 0.136521
5 9 0.419355 0.336425 0.136521
5 10 0.473118 0.336425 0.136521
5 11 0.473118 0.336425 0.136521
5 12 0.473118 0.336425 0.136521
5 13 0.430108 0.336425 0.136521
5 14 0.419355 0.336425 0.136521
5 15 0.322581 0.336425 0.136521
5 16 0.290323 0.336425 0.136521
5 17 0.193548 0.336425 0.136521
5 18 0.182796 0.336425 0.136521
5 19 0.150538 0.336425 0.136521
6 0 0.344086 0.336425 0.136521
6 1 0.354839 0.336425 0.136521
6 2 0.333333 0.336425 0.136521
6 3 0.344086 0.336425 0.136521
6 4 0.333333 0.336425 0.136521
6 5 0.408602 0.336425 0.136521
6 6 0.494624 0.336425 0.136521
6 7 0.494624 0.336425 0.136521
6 8 0.591398 0.336425 0.136521
6 9 0.548387 0.336425 0.136521
6 10 0.569892 0.336425 0.136521
6 11 0.634409 0.336425 0.136521
6 12 0.548387 0.336425 0.136521
6 13 0.494624 0.336425 0.136521
6 14 0.44086 0.336425 0.136521
6 15 0.311828 0.336425 0.136521
6 16 0.258065 0.336425 0.136521
