seqid epsilon b2
0048 2.442 -1014.528
0049 1.871 -1026.351
0050 2.385 -993.271
0051 2.166 -1002.462
0052 2.296 -1031.628
0053 1.506 -1032.057
0054 1.830 -1011.612
0055 1.840 -977.285
0056 1.438 -989.866
0057 1.92 -989.205
0058 1.96 -993.502
0059 1.687 -974.805
0061 1.407 -991.963
0062 1.445 -988.835
0063 1.27 -987.279
0064 1.34 -1022.043
0065 1.335 -1011.319
0066 1.17 -1013.618
0067 1.26 -1000.809
0068 1.085 -1000.992
0069 1.125 -989.894
0070 1.112 -1003.603
0071 1.1 -990.189
0072 1.04 -997.172
0073 1.037 -1017.647
0074 1.022 -975.004
0075 1.010 -1017.927
0076 1.030 -1007.869
0077 0.99 -1020.591
0078 1.02 -987.860
0079 1.01 -1022.749
0080 0.86 -1002.300
0082 0.793 -999.849
0083 0.769 -1027.307
0084 0.735 -994.686
0085 0.727 -998.995
0086 0.720 -991.509
0087 0.708 -977.633
0088 0.703 -983.732
0089 0.674 -989.204
0090 0.676 -1002.096
0091 0.644 -1004.801
0092 0.640 -1008.354
0093 0.614 -977.007
0094 0.497 -980.993
0101 1.097 -990.985
0102 1.143 -977.821
0103 1.120 -1003.824
0104 1.227 -1009.338
0105 1.168 -1018.044
0106 1.197 -987.808
0107 1.028 -994.493
0109 1.117 -1011.539
0111 1.218 -1019.966
0112 1.247 -982.286
0113 1.303 -1024.599
0114 1.368 -981.394
0115 1.326 -998.467
0116 0.880 -982.290
0117 0.865 -1024.611
0118 0.818 -976.730
0119 0.835 -979.475
0120 0.850 -996.918
0121 0.822 -984.606
0122 0.822 -999.530
0123 0.857 -997.626
0124 0.729 -1021.540
0125 0.747 -1005.915
0126 0.758 -987.591
0127 0.710 -1003.751
0128 0.720 -1018.960
0129 0.776 -978.531
