row, col, cumulative power
0, 0, 1.972152e-29
0, 1, 3.308520e+02
1, 1, 3.358869e+02
0, 2, 6.242060e+02
1, 2, 6.318089e+02
2, 2, 6.386176e+02
0, 3, 6.676806e+02
1, 3, 6.690511e+02
2, 3, 6.710217e+02
0, 4, 6.829700e+02
1, 4, 6.844277e+02
3, 3, 6.851049e+02
2, 4, 6.853682e+02
3, 4, 6.863883e+02
0, 5, 6.951051e+02
1, 5, 6.959262e+02
2, 5, 6.973678e+02
4, 4, 6.978365e+02
3, 5, 6.979186e+02
0, 6, 7.023519e+02
1, 6, 7.048482e+02
2, 6, 7.052586e+02
4, 5, 7.054455e+02
3, 6, 7.068410e+02
0, 7, 7.106364e+02
5, 5, 7.106616e+02
1, 7, 7.123106e+02
4, 6, 7.130095e+02
2, 7, 7.132756e+02
3, 7, 7.137897e+02
5, 6, 7.141841e+02
0, 8, 7.484273e+02
4, 7, 7.491621e+02
1, 8, 7.513085e+02
2, 8, 7.527774e+02
6, 6, 7.531203e+02
3, 8, 7.541418e+02
5, 7, 7.545869e+02
4, 8, 7.547585e+02
0, 9, 7.560990e+02
1, 9, 7.569791e+02
6, 7, 7.571805e+02
2, 9, 7.574111e+02
5, 8, 7.575694e+02
3, 9, 7.576292e+02
4, 9, 7.583025e+02
7, 7, 7.583517e+02
6, 8, 7.585898e+02
0, 10, 7.679492e+02
1, 10, 7.684338e+02
2, 10, 7.696757e+02
5, 9, 7.698773e+02
3, 10, 7.700638e+02
7, 8, 7.702298e+02
4, 10, 7.707406e+02
6, 9, 7.708451e+02
5, 10, 7.709121e+02
8, 8, 7.710485e+02
7, 9, 7.714766e+02
6, 10, 7.715584e+02
8, 9, 7.717054e+02
7, 10, 7.719458e+02
9, 9, 7.724502e+02
8, 10, 7.726424e+02
9, 10, 7.727890e+02
10, 10, 7.727956e+02
