row, col, cumulative power
0, 0, 1.779867e-29
0, 1, 1.402064e+01
1, 1, 2.475609e+01
0, 2, 1.365294e+02
1, 2, 1.374799e+02
2, 2, 1.416480e+02
0, 3, 1.665753e+02
1, 3, 1.686647e+02
2, 3, 1.693464e+02
0, 4, 1.788459e+02
1, 4, 1.807116e+02
3, 3, 1.819002e+02
2, 4, 1.825006e+02
3, 4, 1.829285e+02
0, 5, 2.005000e+02
1, 5, 2.010259e+02
2, 5, 2.015858e+02
4, 4, 2.021730e+02
3, 5, 2.025632e+02
0, 6, 2.040585e+02
1, 6, 2.073417e+02
2, 6, 2.077218e+02
4, 5, 2.078336e+02
3, 6, 2.080147e+02
0, 7, 2.139487e+02
5, 5, 2.143594e+02
1, 7, 2.147605e+02
4, 6, 2.152665e+02
2, 7, 2.160436e+02
3, 7, 2.163970e+02
5, 6, 2.170157e+02
0, 8, 2.178023e+02
4, 7, 2.180934e+02
1, 8, 2.184088e+02
2, 8, 2.190798e+02
6, 6, 2.191949e+02
3, 8, 2.198240e+02
5, 7, 2.199549e+02
4, 8, 2.200093e+02
0, 9, 2.215229e+02
1, 9, 2.220776e+02
6, 7, 2.221995e+02
2, 9, 2.225491e+02
5, 8, 2.227511e+02
3, 9, 2.229959e+02
4, 9, 2.233307e+02
7, 7, 2.234975e+02
6, 8, 2.237311e+02
0, 10, 2.238664e+02
1, 10, 2.244129e+02
2, 10, 2.245587e+02
5, 9, 2.248794e+02
3, 10, 2.251666e+02
7, 8, 2.253732e+02
4, 10, 2.258603e+02
6, 9, 2.260717e+02
5, 10, 2.261290e+02
8, 8, 2.262274e+02
7, 9, 2.264996e+02
6, 10, 2.265139e+02
8, 9, 2.266448e+02
7, 10, 2.267070e+02
9, 9, 2.268878e+02
8, 10, 2.270161e+02
9, 10, 2.270415e+02
10, 10, 2.271185e+02
