# contact distance = 3
# r = [1.00974, 3.74988]

# i j contact_probability mean_contact_probability stddev_contact_probability
0 0 0.195652 0.364103 0.144598
0 1 0.141304 0.364103 0.144598
0 2 0.163043 0.364103 0.144598
0 3 0.217391 0.364103 0.144598
0 4 0.228261 0.364103 0.144598
0 5 0.25 0.364103 0.144598
0 6 0.304348 0.364103 0.144598
0 7 0.326087 0.364103 0.144598
0 8 0.26087 0.364103 0.144598
0 9 0.304348 0.364103 0.144598
0 10 0.304348 0.364103 0.144598
0 11 0.304348 0.364103 0.144598
0 12 0.347826 0.364103 0.144598
0 13 0.315217 0.364103 0.144598
0 14 0.293478 0.364103 0.144598
0 15 0.282609 0.364103 0.144598
0 16 0.26087 0.364103 0.144598
0 17 0.228261 0.364103 0.144598
0 18 0.173913 0.364103 0.144598
0 19 0.141304 0.364103 0.144598
1 0 0.163043 0.364103 0.144598
1 1 0.163043 0.364103 0.144598
1 2 0.141304 0.364103 0.144598
1 3 0.206522 0.364103 0.144598
1 4 0.173913 0.364103 0.144598
1 5 0.195652 0.364103 0.144598
1 6 0.315217 0.364103 0.144598
1 7 0.271739 0.364103 0.144598
1 8 0.228261 0.364103 0.144598
1 9 0.304348 0.364103 0.144598
1 10 0.304348 0.364103 0.144598
1 11 0.347826 0.364103 0.144598
1 12 0.336957 0.364103 0.144598
1 13 0.304348 0.364103 0.144598
1 14 0.336957 0.364103 0.144598
1 15 0.326087 0.364103 0.144598
1 16 0.304348 0.364103 0.144598
1 17 0.163043 0.364103 0.144598
1 18 0.152174 0.364103 0.144598
1 19 0.141304 0.364103 0.144598
2 0 0.152174 0.364103 0.144598
2 1 0.152174 0.364103 0.144598
2 2 0.152174 0.364103 0.144598
2 3 0.173913 0.364103 0.144598
2 4 0.217391 0.364103 0.144598
2 5 0.271739 0.364103 0.144598
2 6 0.282609 0.364103 0.144598
2 7 0.326087 0.364103 0.144598
2 8 0.25 0.364103 0.144598
2 9 0.282609 0.364103 0.144598
2 10 0.315217 0.364103 0.144598
2 11 0.326087 0.364103 0.144598
2 12 0.434783 0.364103 0.144598
2 13 0.347826 0.364103 0.144598
2 14 0.326087 0.364103 0.144598
2 15 0.347826 0.364103 0.144598
2 16 0.271739 0.364103 0.144598
2 17 0.217391 0.364103 0.144598
2 18 0.206522 0.364103 0.144598
2 19 0.173913 0.364103 0.144598
3 0 0.195652 0.364103 0.144598
3 1 0.163043 0.364103 0.144598
3 2 0.173913 0.364103 0.144598
3 3 0.217391 0.364103 0.144598
3 4 0.23913 0.364103 0.144598
3 5 0.282609 0.364103 0.144598
3 6 0.347826 0.364103 0.144598
3 7 0.347826 0.364103 0.144598
3 8 0.304348 0.364103 0.144598
3 9 0.369565 0.364103 0.144598
3 10 0.380435 0.364103 0.144598
3 11 0.391304 0.364103 0.144598
3 12 0.445652 0.364103 0.144598
3 13 0.380435 0.364103 0.144598
3 14 0.423913 0.364103 0.144598
3 15 0.358696 0.364103 0.144598
3 16 0.369565 0.364103 0.144598
3 17 0.23913 0.364103 0.144598
3 18 0.23913 0.364103 0.144598
3 19 0.228261 0.364103 0.144598
4 0 0.184783 0.364103 0.144598
4 1 0.141304 0.364103 0.144598
4 2 0.152174 0.364103 0.144598
4 3 0.184783 0.364103 0.144598
4 4 0.184783 0.364103 0.144598
4 5 0.23913 0.364103 0.144598
4 6 0.369565 0.364103 0.144598
4 7 0.358696 0.364103 0.144598
4 8 0.293478 0.364103 0.144598
4 9 0.336957 0.364103 0.144598
4 10 0.358696 0.364103 0.144598
4 11 0.445652 0.364103 0.144598
4 12 0.48913 0.364103 0.144598
4 13 0.423913 0.364103 0.144598
4 14 0.48913 0.364103 0.144598
4 15 0.423913 0.364103 0.144598
4 16 0.380435 0.364103 0.144598
4 17 0.293478 0.364103 0.144598
4 18 0.293478 0.364103 0.144598
4 19 0.26087 0.364103 0.144598
5 0 0.23913 0.364103 0.144598
5 1 0.184783 0.364103 0.144598
5 2 0.163043 0.364103 0.144598
5 3 0.206522 0.364103 0.144598
5 4 0.228261 0.364103 0.144598
5 5 0.326087 0.364103 0.144598
5 6 0.445652 0.364103 0.144598
5 7 0.478261 0.364103 0.144598
5 8 0.358696 0.364103 0.144598
5 9 0.478261 0.364103 0.144598
5 10 0.445652 0.364103 0.144598
5 11 0.554348 0.364103 0.144598
5 12 0.597826 0.364103 0.144598
5 13 0.532609 0.364103 0.144598
5 14 0.554348 0.364103 0.144598
5 15 0.413043 0.364103 0.144598
5 16 0.413043 0.364103 0.144598
5 17 0.369565 0.364103 0.144598
5 18 0.391304 0.364103 0.144598
5 19 0.347826 0.364103 0.144598
6 0 0.304348 0.364103 0.144598
6 1 0.195652 0.364103 0.144598
6 2 0.217391 0.364103 0.144598
6 3 0.293478 0.364103 0.144598
6 4 0.336957 0.364103 0.144598
6 5 0.434783 0.364103 0.144598
6 6 0.445652 0.364103 0.144598
6 7 0.619565 0.364103 0.144598
6 8 0.478261 0.364103 0.144598
6 9 0.597826 0.364103 0.144598
6 10 0.521739 0.364103 0.144598
6 11 0.652174 0.364103 0.144598
6 12 0.695652 0.364103 0.144598
6 13 0.641304 0.364103 0.144598
6 14 0.652174 0.364103 0.144598
6 15 0.467391 0.364103 0.144598
6 16 0.565217 0.364103 0.144598
6 17 0.456522 0.364103 0.144598
6 18 0.434783 0.364103 0.144598
6 19 0.315217 0.364103 0.144598
