# contact distance = 3
# r = [1.1872, 4.97981]

# i j contact_probability mean_contact_probability stddev_contact_probability
0 0 0.0833333 0.266328 0.109996
0 1 0.09375 0.266328 0.109996
0 2 0.145833 0.266328 0.109996
0 3 0.135417 0.266328 0.109996
0 4 0.104167 0.266328 0.109996
0 5 0.09375 0.266328 0.109996
0 6 0.0729167 0.266328 0.109996
0 7 0.0729167 0.266328 0.109996
0 8 0.104167 0.266328 0.109996
0 9 0.166667 0.266328 0.109996
0 10 0.177083 0.266328 0.109996
0 11 0.197917 0.266328 0.109996
0 12 0.229167 0.266328 0.109996
0 13 0.1875 0.266328 0.109996
0 14 0.135417 0.266328 0.109996
0 15 0.104167 0.266328 0.109996
0 16 0.145833 0.266328 0.109996
0 17 0.166667 0.266328 0.109996
0 18 0.177083 0.266328 0.109996
0 19 0.135417 0.266328 0.109996
1 0 0.0833333 0.266328 0.109996
1 1 0.114583 0.266328 0.109996
1 2 0.15625 0.266328 0.109996
1 3 0.135417 0.266328 0.109996
1 4 0.145833 0.266328 0.109996
1 5 0.135417 0.266328 0.109996
1 6 0.125 0.266328 0.109996
1 7 0.104167 0.266328 0.109996
1 8 0.145833 0.266328 0.109996
1 9 0.1875 0.266328 0.109996
1 10 0.197917 0.266328 0.109996
1 11 0.270833 0.266328 0.109996
1 12 0.260417 0.266328 0.109996
1 13 0.229167 0.266328 0.109996
1 14 0.25 0.266328 0.109996
1 15 0.177083 0.266328 0.109996
1 16 0.166667 0.266328 0.109996
1 17 0.208333 0.266328 0.109996
1 18 0.239583 0.266328 0.109996
1 19 0.229167 0.266328 0.109996
2 0 0.0833333 0.266328 0.109996
2 1 0.135417 0.266328 0.109996
2 2 0.166667 0.266328 0.109996
2 3 0.15625 0.266328 0.109996
2 4 0.1875 0.266328 0.109996
2 5 0.21875 0.266328 0.109996
2 6 0.208333 0.266328 0.109996
2 7 0.166667 0.266328 0.109996
2 8 0.208333 0.266328 0.109996
2 9 0.28125 0.266328 0.109996
2 10 0.239583 0.266328 0.109996
2 11 0.28125 0.266328 0.109996
2 12 0.3125 0.266328 0.109996
2 13 0.25 0.266328 0.109996
2 14 0.25 0.266328 0.109996
2 15 0.21875 0.266328 0.109996
2 16 0.21875 0.266328 0.109996
2 17 0.291667 0.266328 0.109996
2 18 0.302083 0.266328 0.109996
2 19 0.28125 0.266328 0.109996
3 0 0.09375 0.266328 0.109996
3 1 0.125 0.266328 0.109996
3 2 0.145833 0.266328 0.109996
3 3 0.1875 0.266328 0.109996
3 4 0.197917 0.266328 0.109996
3 5 0.21875 0.266328 0.109996
3 6 0.21875 0.266328 0.109996
3 7 0.208333 0.266328 0.109996
