# contact distance = 3
# r = [1.01813, 3.56041]

# i j contact_probability mean_contact_probability stddev_contact_probability
0 0 0.323529 0.391544 0.114048
0 1 0.352941 0.391544 0.114048
0 2 0.382353 0.391544 0.114048
0 3 0.470588 0.391544 0.114048
0 4 0.485294 0.391544 0.114048
0 5 0.544118 0.391544 0.114048
0 6 0.529412 0.391544 0.114048
0 7 0.470588 0.391544 0.114048
0 8 0.352941 0.391544 0.114048
0 9 0.264706 0.391544 0.114048
0 10 0.264706 0.391544 0.114048
0 11 0.411765 0.391544 0.114048
0 12 0.397059 0.391544 0.114048
0 13 0.308824 0.391544 0.114048
0 14 0.382353 0.391544 0.114048
0 15 0.294118 0.391544 0.114048
0 16 0.264706 0.391544 0.114048
0 17 0.279412 0.391544 0.114048
0 18 0.426471 0.391544 0.114048
0 19 0.397059 0.391544 0.114048
1 0 0.279412 0.391544 0.114048
1 1 0.205882 0.391544 0.114048
1 2 0.367647 0.391544 0.114048
1 3 0.441176 0.391544 0.114048
1 4 0.367647 0.391544 0.114048
1 5 0.514706 0.391544 0.114048
1 6 0.455882 0.391544 0.114048
1 7 0.470588 0.391544 0.114048
1 8 0.323529 0.391544 0.114048
1 9 0.279412 0.391544 0.114048
1 10 0.338235 0.391544 0.114048
1 11 0.411765 0.391544 0.114048
1 12 0.441176 0.391544 0.114048
1 13 0.323529 0.391544 0.114048
1 14 0.323529 0.391544 0.114048
1 15 0.279412 0.391544 0.114048
1 16 0.279412 0.391544 0.114048
1 17 0.308824 0.391544 0.114048
1 18 0.455882 0.391544 0.114048
1 19 0.441176 0.391544 0.114048
2 0 0.352941 0.391544 0.114048
2 1 0.294118 0.391544 0.114048
2 2 0.397059 0.391544 0.114048
2 3 0.647059 0.391544 0.114048
2 4 0.558824 0.391544 0.114048
2 5 0.632353 0.391544 0.114048
2 6 0.617647 0.391544 0.114048
2 7 0.573529 0.391544 0.114048
2 8 0.485294 0.391544 0.114048
2 9 0.382353 0.391544 0.114048
2 10 0.352941 0.391544 0.114048
2 11 0.470588 0.391544 0.114048
2 12 0.485294 0.391544 0.114048
2 13 0.382353 0.391544 0.114048
2 14 0.411765 0.391544 0.114048
2 15 0.25 0.391544 0.114048
2 16 0.308824 0.391544 0.114048
2 17 0.367647 0.391544 0.114048
2 18 0.544118 0.391544 0.114048
2 19 0.455882 0.391544 0.114048
3 0 0.411765 0.391544 0.114048
3 1 0.382353 0.391544 0.114048
3 2 0.514706 0.391544 0.114048
3 3 0.558824 0.391544 0.114048
3 4 0.544118 0.391544 0.114048
3 5 0.691176 0.391544 0.114048
3 6 0.647059 0.391544 0.114048
3 7 0.647059 0.391544 0.114048
3 8 0.485294 0.391544 0.114048
3 9 0.308824 0.391544 0.114048
3 10 0.352941 0.391544 0.114048
3 11 0.441176 0.391544 0.114048
3 12 0.411765 0.391544 0.114048
3 13 0.397059 0.391544 0.114048
3 14 0.455882 0.391544 0.114048
3 15 0.308824 0.391544 0.114048
3 16 0.338235 0.391544 0.114048
3 17 0.382353 0.391544 0.114048
3 18 0.558824 0.391544 0.114048
3 19 0.529412 0.391544 0.114048
4 0 0.411765 0.391544 0.114048
4 1 0.397059 0.391544 0.114048
4 2 0.455882 0.391544 0.114048
4 3 0.544118 0.391544 0.114048
4 4 0.485294 0.391544 0.114048
4 5 0.617647 0.391544 0.114048
4 6 0.691176 0.391544 0.114048
4 7 0.573529 0.391544 0.114048
4 8 0.382353 0.391544 0.114048
4 9 0.220588 0.391544 0.114048
4 10 0.25 0.391544 0.114048
4 11 0.426471 0.391544 0.114048
4 12 0.367647 0.391544 0.114048
4 13 0.367647 0.391544 0.114048
4 14 0.441176 0.391544 0.114048
4 15 0.294118 0.391544 0.114048
4 16 0.294118 0.391544 0.114048
