# contact distance = 3.5
# r = [1.00974, 3.74988]

# i j contact_probability mean_contact_probability stddev_contact_probability
0 0 0.23913 0.506168 0.156891
0 1 0.23913 0.506168 0.156891
0 2 0.282609 0.506168 0.156891
0 3 0.326087 0.506168 0.156891
0 4 0.347826 0.506168 0.156891
0 5 0.358696 0.506168 0.156891
0 6 0.434783 0.506168 0.156891
0 7 0.402174 0.506168 0.156891
0 8 0.391304 0.506168 0.156891
0 9 0.391304 0.506168 0.156891
0 10 0.391304 0.506168 0.156891
0 11 0.413043 0.506168 0.156891
0 12 0.434783 0.506168 0.156891
0 13 0.369565 0.506168 0.156891
0 14 0.391304 0.506168 0.156891
0 15 0.423913 0.506168 0.156891
0 16 0.391304 0.506168 0.156891
0 17 0.326087 0.506168 0.156891
0 18 0.304348 0.506168 0.156891
0 19 0.271739 0.506168 0.156891
1 0 0.217391 0.506168 0.156891
1 1 0.195652 0.506168 0.156891
1 2 0.271739 0.506168 0.156891
1 3 0.271739 0.506168 0.156891
1 4 0.326087 0.506168 0.156891
1 5 0.380435 0.506168 0.156891
1 6 0.467391 0.506168 0.156891
1 7 0.456522 0.506168 0.156891
1 8 0.380435 0.506168 0.156891
1 9 0.413043 0.506168 0.156891
1 10 0.434783 0.506168 0.156891
1 11 0.467391 0.506168 0.156891
1 12 0.543478 0.506168 0.156891
1 13 0.434783 0.506168 0.156891
1 14 0.467391 0.506168 0.156891
1 15 0.423913 0.506168 0.156891
1 16 0.445652 0.506168 0.156891
1 17 0.326087 0.506168 0.156891
1 18 0.293478 0.506168 0.156891
1 19 0.228261 0.506168 0.156891
2 0 0.282609 0.506168 0.156891
2 1 0.217391 0.506168 0.156891
2 2 0.23913 0.506168 0.156891
2 3 0.304348 0.506168 0.156891
2 4 0.315217 0.506168 0.156891
2 5 0.358696 0.506168 0.156891
2 6 0.48913 0.506168 0.156891
2 7 0.423913 0.506168 0.156891
2 8 0.413043 0.506168 0.156891
2 9 0.467391 0.506168 0.156891
2 10 0.445652 0.506168 0.156891
2 11 0.532609 0.506168 0.156891
2 12 0.554348 0.506168 0.156891
2 13 0.48913 0.506168 0.156891
2 14 0.5 0.506168 0.156891
2 15 0.445652 0.506168 0.156891
2 16 0.478261 0.506168 0.156891
2 17 0.369565 0.506168 0.156891
2 18 0.336957 0.506168 0.156891
2 19 0.304348 0.506168 0.156891
3 0 0.293478 0.506168 0.156891
3 1 0.282609 0.506168 0.156891
3 2 0.25 0.506168 0.156891
3 3 0.326087 0.506168 0.156891
3 4 0.336957 0.506168 0.156891
3 5 0.402174 0.506168 0.156891
3 6 0.532609 0.506168 0.156891
3 7 0.532609 0.506168 0.156891
3 8 0.423913 0.506168 0.156891
3 9 0.5 0.506168 0.156891
3 10 0.5 0.506168 0.156891
