row, col, cumulative power
0, 0, 4.548969e-29
0, 1, 1.170101e+02
1, 1, 1.216486e+02
0, 2, 1.466720e+02
1, 2, 1.607786e+02
2, 2, 1.630864e+02
0, 3, 1.772415e+02
1, 3, 1.784121e+02
2, 3, 1.795076e+02
0, 4, 1.828676e+02
1, 4, 1.872917e+02
3, 3, 1.880960e+02
2, 4, 1.891661e+02
3, 4, 1.893366e+02
0, 5, 2.280290e+02
1, 5, 2.317677e+02
2, 5, 2.332447e+02
4, 4, 2.333685e+02
3, 5, 2.338331e+02
0, 6, 2.343097e+02
1, 6, 2.348262e+02
2, 6, 2.351198e+02
4, 5, 2.357049e+02
3, 6, 2.363857e+02
0, 7, 2.380331e+02
5, 5, 2.381255e+02
1, 7, 2.386052e+02
4, 6, 2.389065e+02
2, 7, 2.392365e+02
3, 7, 2.397218e+02
5, 6, 2.404465e+02
0, 8, 2.426792e+02
4, 7, 2.432435e+02
1, 8, 2.433449e+02
2, 8, 2.437918e+02
6, 6, 2.439133e+02
3, 8, 2.442174e+02
5, 7, 2.445537e+02
4, 8, 2.451450e+02
0, 9, 2.475514e+02
1, 9, 2.477376e+02
6, 7, 2.483389e+02
2, 9, 2.486507e+02
5, 8, 2.489689e+02
3, 9, 2.494206e+02
4, 9, 2.496964e+02
7, 7, 2.498522e+02
6, 8, 2.510594e+02
0, 10, 2.599084e+02
1, 10, 2.612075e+02
2, 10, 2.614017e+02
5, 9, 2.619340e+02
3, 10, 2.619706e+02
7, 8, 2.621494e+02
4, 10, 2.622374e+02
6, 9, 2.624509e+02
5, 10, 2.630906e+02
8, 8, 2.631093e+02
7, 9, 2.634975e+02
6, 10, 2.637669e+02
8, 9, 2.638015e+02
7, 10, 2.638489e+02
9, 9, 2.639767e+02
8, 10, 2.640529e+02
9, 10, 2.640772e+02
10, 10, 2.642058e+02
