row, col, cumulative power
0, 0, 1.232595e-30
0, 1, 1.040292e+01
1, 1, 1.813740e+01
0, 2, 4.091429e+02
1, 2, 4.238543e+02
2, 2, 4.506535e+02
0, 3, 9.162134e+02
1, 3, 9.215056e+02
2, 3, 9.674026e+02
0, 4, 1.008693e+03
1, 4, 1.012401e+03
3, 3, 1.043272e+03
2, 4, 1.046912e+03
3, 4, 1.057784e+03
0, 5, 1.062190e+03
1, 5, 1.064768e+03
2, 5, 1.069322e+03
4, 4, 1.069493e+03
3, 5, 1.071161e+03
0, 6, 1.114466e+03
1, 6, 1.115724e+03
2, 6, 1.120050e+03
4, 5, 1.121033e+03
3, 6, 1.130712e+03
0, 7, 1.137811e+03
5, 5, 1.138242e+03
1, 7, 1.143443e+03
4, 6, 1.144805e+03
2, 7, 1.145332e+03
3, 7, 1.145645e+03
5, 6, 1.146764e+03
0, 8, 1.185950e+03
4, 7, 1.187642e+03
1, 8, 1.189257e+03
2, 8, 1.189562e+03
6, 6, 1.190113e+03
3, 8, 1.192515e+03
5, 7, 1.192951e+03
4, 8, 1.193199e+03
0, 9, 1.199348e+03
1, 9, 1.199708e+03
6, 7, 1.199974e+03
2, 9, 1.200519e+03
5, 8, 1.202031e+03
3, 9, 1.204577e+03
4, 9, 1.207682e+03
7, 7, 1.208201e+03
6, 8, 1.208928e+03
0, 10, 1.212484e+03
1, 10, 1.214476e+03
2, 10, 1.214636e+03
5, 9, 1.215141e+03
3, 10, 1.215540e+03
7, 8, 1.215770e+03
4, 10, 1.217190e+03
6, 9, 1.219573e+03
5, 10, 1.220253e+03
8, 8, 1.221045e+03
7, 9, 1.221382e+03
6, 10, 1.222182e+03
8, 9, 1.223081e+03
7, 10, 1.224006e+03
9, 9, 1.224385e+03
8, 10, 1.224465e+03
9, 10, 1.224772e+03
10, 10, 1.225107e+03
