# contact distance = 2.5
# r = [1.00274, 3.59213]

# i j contact_probability mean_contact_probability stddev_contact_probability
0 0 0.306452 0.225444 0.0833373
0 1 0.322581 0.225444 0.0833373
0 2 0.322581 0.225444 0.0833373
0 3 0.290323 0.225444 0.0833373
0 4 0.290323 0.225444 0.0833373
0 5 0.209677 0.225444 0.0833373
0 6 0.241935 0.225444 0.0833373
0 7 0.225806 0.225444 0.0833373
0 8 0.274194 0.225444 0.0833373
0 9 0.306452 0.225444 0.0833373
0 10 0.290323 0.225444 0.0833373
0 11 0.403226 0.225444 0.0833373
0 12 0.274194 0.225444 0.0833373
0 13 0.33871 0.225444 0.0833373
0 14 0.306452 0.225444 0.0833373
0 15 0.290323 0.225444 0.0833373
0 16 0.209677 0.225444 0.0833373
0 17 0.193548 0.225444 0.0833373
0 18 0.129032 0.225444 0.0833373
0 19 0.145161 0.225444 0.0833373
1 0 0.370968 0.225444 0.0833373
1 1 0.419355 0.225444 0.0833373
1 2 0.403226 0.225444 0.0833373
1 3 0.403226 0.225444 0.0833373
1 4 0.322581 0.225444 0.0833373
1 5 0.290323 0.225444 0.0833373
1 6 0.322581 0.225444 0.0833373
1 7 0.290323 0.225444 0.0833373
1 8 0.370968 0.225444 0.0833373
1 9 0.387097 0.225444 0.0833373
1 10 0.274194 0.225444 0.0833373
1 11 0.387097 0.225444 0.0833373
1 12 0.451613 0.225444 0.0833373
1 13 0.354839 0.225444 0.0833373
1 14 0.290323 0.225444 0.0833373
1 15 0.241935 0.225444 0.0833373
1 16 0.225806 0.225444 0.0833373
1 17 0.193548 0.225444 0.0833373
1 18 0.145161 0.225444 0.0833373
1 19 0.0806452 0.225444 0.0833373
2 0 0.322581 0.225444 0.0833373
2 1 0.435484 0.225444 0.0833373
2 2 0.370968 0.225444 0.0833373
2 3 0.419355 0.225444 0.0833373
2 4 0.419355 0.225444 0.0833373
2 5 0.33871 0.225444 0.0833373
2 6 0.258065 0.225444 0.0833373
2 7 0.258065 0.225444 0.0833373
2 8 0.306452 0.225444 0.0833373
2 9 0.403226 0.225444 0.0833373
2 10 0.322581 0.225444 0.0833373
2 11 0.354839 0.225444 0.0833373
2 12 0.419355 0.225444 0.0833373
2 13 0.354839 0.225444 0.0833373
2 14 0.241935 0.225444 0.0833373
2 15 0.241935 0.225444 0.0833373
2 16 0.209677 0.225444 0.0833373
2 17 0.258065 0.225444 0.0833373
2 18 0.177419 0.225444 0.0833373
2 19 0.0806452 0.225444 0.0833373
3 0 0.33871 0.225444 0.0833373
3 1 0.403226 0.225444 0.0833373
3 2 0.322581 0.225444 0.0833373
3 3 0.403226 0.225444 0.0833373
3 4 0.33871 0.225444 0.0833373
3 5 0.225806 0.225444 0.0833373
3 6 0.258065 0.225444 0.0833373
3 7 0.193548 0.225444 0.0833373
3 8 0.274194 0.225444 0.0833373
3 9 0.33871 0.225444 0.0833373
3 10 0.306452 0.225444 0.0833373
3 11 0.322581 0.225444 0.0833373
3 12 0.33871 0.225444 0.0833373
3 13 0.290323 0.225444 0.0833373
3 14 0.258065 0.225444 0.0833373
3 15 0.241935 0.225444 0.0833373
3 16 0.225806 0.225444 0.0833373
3 17 0.145161 0.225444 0.0833373
3 18 0.112903 0.225444 0.0833373
3 19 0.112903 0.225444 0.0833373
4 0 0.306452 0.225444 0.0833373
4 1 0.33871 0.225444 0.0833373
4 2 0.322581 0.225444 0.0833373
4 3 0.33871 0.225444 0.0833373
4 4 0.290323 0.225444 0.0833373
4 5 0.193548 0.225444 0.0833373
4 6 0.225806 0.225444 0.0833373
4 7 0.145161 0.225444 0.0833373
4 8 0.225806 0.225444 0.0833373
4 9 0.241935 0.225444 0.0833373
4 10 0.241935 0.225444 0.0833373
4 11 0.322581 0.225444 0.0833373
4 12 0.322581 0.225444 0.0833373
4 13 0.354839 0.225444 0.0833373
4 14 0.241935 0.225444 0.0833373
4 15 0.241935 0.225444 0.0833373
4 16 0.241935 0.225444 0.0833373
4 17 0.241935 0.225444 0.0833373
4 18 0.16129 0.225444 0.0833373
4 19 0.0806452 0.225444 0.0833373
5 0 0.290323 0.225444 0.0833373
5 1 0.241935 0.225444 0.0833373
5 2 0.193548 0.225444 0.0833373
5 3 0.225806 0.225444 0.0833373
5 4 0.193548 0.225444 0.0833373
5 5 0.209677 0.225444 0.0833373
5 6 0.241935 0.225444 0.0833373
5 7 0.16129 0.225444 0.0833373
5 8 0.258065 0.225444 0.0833373
5 9 0.322581 0.225444 0.0833373
5 10 0.209677 0.225444 0.0833373
5 11 0.177419 0.225444 0.0833373
5 12 0.225806 0.225444 0.0833373
5 13 0.258065 0.225444 0.0833373
5 14 0.209677 0.225444 0.0833373
5 15 0.177419 0.225444 0.0833373
5 16 0.16129 0.225444 0.0833373
5 17 0.145161 0.225444 0.0833373
5 18 0.145161 0.225444 0.0833373
5 19 0.129032 0.225444 0.0833373
6 0 0.225806 0.225444 0.0833373
6 1 0.225806 0.225444 0.0833373
6 2 0.241935 0.225444 0.0833373
6 3 0.225806 0.225444 0.0833373
6 4 0.16129 0.225444 0.0833373
6 5 0.145161 0.225444 0.0833373
6 6 0.177419 0.225444 0.0833373
6 7 0.193548 0.225444 0.0833373
6 8 0.209677 0.225444 0.0833373
6 9 0.241935 0.225444 0.0833373
6 10 0.209677 0.225444 0.0833373
6 11 0.209677 0.225444 0.0833373
6 12 0.177419 0.225444 0.0833373
6 13 0.241935 0.225444 0.0833373
6 14 0.225806 0.225444 0.0833373
6 15 0.225806 0.225444 0.0833373
6 16 0.16129 0.225444 0.0833373
6 17 0.112903 0.225444 0.0833373
6 18 0.112903 0.225444 0.0833373
6 19 0.0645161 0.225444 0.0833373
7 0 0.177419 0.225444 0.0833373
7 1 0.209677 0.225444 0.0833373
7 2 0.241935 0.225444 0.0833373
7 3 0.177419 0.225444 0.0833373
7 4 0.16129 0.225444 0.0833373
7 5 0.129032 0.225444 0.0833373
7 6 0.16129 0.225444 0.0833373
7 7 0.16129 0.225444 0.0833373
7 8 0.209677 0.225444 0.0833373
7 9 0.177419 0.225444 0.0833373
7 10 0.177419 0.225444 0.0833373
7 11 0.193548 0.225444 0.0833373
7 12 0.209677 0.225444 0.0833373
7 13 0.209677 0.225444 0.0833373
7 14 0.193548 0.225444 0.0833373
7 15 0.129032 0.225444 0.0833373
7 16 0.16129 0.225444 0.0833373
7 17 0.129032 0.225444 0.0833373
7 18 0.0483871 0.225444 0.0833373
7 19 0.0645161 0.225444 0.0833373
8 0 0.193548 0.225444 0.0833373
8 1 0.225806 0.225444 0.0833373
8 2 0.209677 0.225444 0.0833373
8 3 0.274194 0.225444 0.0833373
8 4 0.225806 0.225444 0.0833373
8 5 0.177419 0.225444 0.0833373
8 6 0.177419 0.225444 0.0833373
8 7 0.145161 0.225444 0.0833373
8 8 0.129032 0.225444 0.0833373
8 9 0.177419 0.225444 0.0833373
8 10 0.145161 0.225444 0.0833373
8 11 0.16129 0.225444 0.0833373
8 12 0.225806 0.225444 0.0833373
8 13 0.225806 0.225444 0.0833373
8 14 0.258065 0.225444 0.0833373
8 15 0.193548 0.225444 0.0833373
8 16 0.177419 0.225444 0.0833373
8 17 0.145161 0.225444 0.0833373
8 18 0.112903 0.225444 0.0833373
8 19 0.0806452 0.225444 0.0833373
9 0 0.225806 0.225444 0.0833373
9 1 0.258065 0.225444 0.0833373
9 2 0.290323 0.225444 0.0833373
9 3 0.258065 0.225444 0.0833373
9 4 0.274194 0.225444 0.0833373
9 5 0.145161 0.225444 0.0833373
9 6 0.145161 0.225444 0.0833373
9 7 0.0967742 0.225444 0.0833373
9 8 0.129032 0.225444 0.0833373
9 9 0.129032 0.225444 0.0833373
9 10 0.0967742 0.225444 0.0833373
